sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target
-1.5015871203050712,0.8019645237919867,-1.339092591866844,-1.1797367684652014,0
0.6398240725667408,-0.5946273542262533,1.041834044259263,1.1863645031195007,2
-0.1929469468834082,-0.12909672822017296,0.24819183221722765,0.0033138673271494307,1
-0.9067506778406792,1.7330257758041463,-1.055648944708974,-1.048286697821607,0
-1.2636525433193142,0.10366858478286721,-1.225715133003696,-1.3111868391087962,0
-0.4308815238691652,-1.525688606238413,0.021436914490931512,-0.12813620331644496,1
0.6398240725667408,-0.8273926672292924,0.8717678559645413,0.9234643618323113,2
0.5208567840738617,0.5691992107889465,1.2685889619855593,1.7121647856938786,2
2.1863988229741596,-0.5946273542262533,1.6654100680065773,1.0549144324759059,2
1.5915623805097678,-0.12909672822017296,1.1552115031224113,0.5291141499015278,2
-0.1929469468834082,2.3149390583117464,-1.28240386243527,-1.048286697821607,0
0.5208567840738617,-0.36186204122321314,1.041834044259263,0.7920142911887169,2
0.9967259380453758,0.5691992107889465,1.0985227736908374,1.7121647856938786,2
0.5208567840738617,-0.5946273542262533,0.7583903971013932,0.3976640792579332,2
-0.4308815238691652,2.3149390583117464,-1.339092591866844,-1.3111868391087962,0
0.8777586495524967,-0.36186204122321314,0.47494674994352326,0.1347639379707441,1
-0.4308815238691652,-1.2929232932353727,0.1348143733540796,0.1347639379707441,1
-0.7877833893478001,2.3149390583117464,-1.28240386243527,-1.4426369097523906,0
0.2829222070881048,-0.5946273542262533,0.1348143733540796,0.1347639379707441,1
-1.1446852548264352,-0.12909672822017296,-1.339092591866844,-1.3111868391087962,0
-0.3119142353762872,-0.8273926672292924,0.24819183221722765,0.1347639379707441,1
-0.9067506778406792,1.0347298367950268,-1.339092591866844,-1.1797367684652014,0
1.5915623805097678,1.267495149798067,1.325277691417133,1.7121647856938786,2
-0.4308815238691652,-1.7584539192414532,0.1348143733540796,0.1347639379707441,1
-1.1446852548264352,0.10366858478286721,-1.28240386243527,-1.3111868391087962,0
1.1156932265382538,-0.5946273542262533,0.5883242088066714,0.26621400861433847,1
0.2829222070881048,-0.5946273542262533,0.5316354793750976,0.0033138673271494307,1
-0.07397965839053022,-0.8273926672292924,0.7583903971013932,0.9234643618323113,2
0.04498763010234881,0.3364338977859074,0.5883242088066714,0.7920142911887169,1
-0.6688161008549222,1.5002604628011071,-1.28240386243527,-1.3111868391087962,0
0.9967259380453758,0.10366858478286721,0.3615692910803757,0.26621400861433847,1
0.9967259380453758,-0.12909672822017296,0.8150791265329674,1.4492646444066895,2
1.5915623805097678,0.3364338977859074,1.2685889619855593,0.7920142911887169,2
-0.9067506778406792,0.5691992107889465,-1.1690264035721223,-0.9168366271780124,0
0.04498763010234881,-0.12909672822017296,0.7583903971013932,0.7920142911887169,2
-0.3119142353762872,-0.5946273542262533,0.6450129382382457,1.0549144324759059,2
-1.0257179663335572,1.267495149798067,-1.339092591866844,-1.3111868391087962,0
-0.4308815238691652,-1.0601579802323327,0.3615692910803757,0.0033138673271494307,1
-1.1446852548264352,0.10366858478286721,-1.28240386243527,-1.4426369097523906,0
0.4018894955809838,-0.36186204122321314,0.30488056164880145,0.1347639379707441,1
-1.1446852548264352,1.267495149798067,-1.339092591866844,-1.4426369097523906,0
-1.2636525433193142,0.8019645237919867,-1.055648944708974,-1.3111868391087962,0
0.4018894955809838,-0.5946273542262533,0.5883242088066714,0.7920142911887169,2
-0.9067506778406792,0.8019645237919867,-1.28240386243527,-1.3111868391087962,0
-0.4308815238691652,1.0347298367950268,-1.3957813212984178,-1.3111868391087962,0
-1.8584889857837061,-0.12909672822017296,-1.5091587801615658,-1.4426369097523906,0
-1.2636525433193142,-0.12909672822017296,-1.339092591866844,-1.4426369097523906,0
1.3536278035240108,0.3364338977859074,0.5316354793750976,0.26621400861433847,1
-0.07397965839053022,-0.5946273542262533,0.7583903971013932,1.580714715050284,2
2.4243333999599166,1.7330257758041463,1.4953438797118555,1.0549144324759059,2
-1.0257179663335572,-0.12909672822017296,-1.225715133003696,-1.3111868391087962,0
-0.1929469468834082,-0.5946273542262533,0.19150310278565336,0.1347639379707441,1
